model,feature,selected_folds,fraction
isolation_forest,f_491,15,1.0
isolation_forest,f_493,15,1.0
isolation_forest,f_494,15,1.0
isolation_forest,f_495,15,1.0
isolation_forest,f_496,15,1.0
isolation_forest,f_497,15,1.0
isolation_forest,f_499,15,1.0
isolation_forest,f_500,15,1.0
isolation_forest,f_510,15,1.0
isolation_forest,f_511,15,1.0
isolation_forest,f_520,15,1.0
isolation_forest,f_521,15,1.0
isolation_forest,f_522,15,1.0
isolation_forest,f_523,15,1.0
isolation_forest,f_524,15,1.0
isolation_forest,f_525,15,1.0
isolation_forest,f_526,15,1.0
isolation_forest,f_527,15,1.0
isolation_forest,f_539,15,1.0
isolation_forest,f_540,15,1.0
isolation_forest,f_541,15,1.0
isolation_forest,f_542,15,1.0
isolation_forest,f_543,15,1.0
isolation_forest,f_544,15,1.0
isolation_forest,f_545,15,1.0
isolation_forest,f_546,15,1.0
isolation_forest,f_547,15,1.0
isolation_forest,f_548,15,1.0
isolation_forest,f_549,15,1.0
isolation_forest,f_550,15,1.0
isolation_forest,f_551,15,1.0
isolation_forest,f_552,15,1.0
isolation_forest,f_553,15,1.0
isolation_forest,f_554,15,1.0
isolation_forest,f_555,15,1.0
isolation_forest,f_556,15,1.0
isolation_forest,f_557,15,1.0
isolation_forest,f_558,15,1.0
isolation_forest,f_559,15,1.0
isolation_forest,f_560,15,1.0
isolation_forest,f_561,15,1.0
isolation_forest,f_562,15,1.0
isolation_forest,f_563,15,1.0
isolation_forest,f_564,15,1.0
isolation_forest,f_565,15,1.0
isolation_forest,f_566,15,1.0
isolation_forest,f_567,15,1.0
isolation_forest,f_568,15,1.0
isolation_forest,f_569,15,1.0
isolation_forest,f_570,15,1.0
isolation_forest,f_571,15,1.0
isolation_forest,f_572,15,1.0
isolation_forest,f_573,15,1.0
isolation_forest,f_574,15,1.0
isolation_forest,f_575,15,1.0
isolation_forest,f_576,15,1.0
isolation_forest,f_577,15,1.0
isolation_forest,f_582,15,1.0
isolation_forest,f_583,15,1.0
isolation_forest,f_584,15,1.0
isolation_forest,f_585,15,1.0
isolation_forest,f_586,15,1.0
isolation_forest,f_587,15,1.0
isolation_forest,f_588,15,1.0
isolation_forest,f_589,15,1.0
logistic_full_C01,f_000,15,1.0
logistic_full_C01,f_001,15,1.0
logistic_full_C01,f_002,15,1.0
logistic_full_C01,f_003,15,1.0
logistic_full_C01,f_004,15,1.0
logistic_full_C01,f_006,15,1.0
logistic_full_C01,f_007,15,1.0
logistic_full_C01,f_008,15,1.0
logistic_full_C01,f_009,15,1.0
logistic_full_C01,f_010,15,1.0
logistic_full_C01,f_011,15,1.0
logistic_full_C01,f_012,15,1.0
logistic_full_C01,f_014,15,1.0
logistic_full_C01,f_015,15,1.0
logistic_full_C01,f_016,15,1.0
logistic_full_C01,f_017,15,1.0
logistic_full_C01,f_018,15,1.0
logistic_full_C01,f_019,15,1.0
logistic_full_C01,f_020,15,1.0
logistic_full_C01,f_021,15,1.0
logistic_full_C01,f_022,15,1.0
logistic_full_C01,f_023,15,1.0
logistic_full_C01,f_024,15,1.0
logistic_full_C01,f_025,15,1.0
logistic_full_C01,f_026,15,1.0
logistic_full_C01,f_027,15,1.0
logistic_full_C01,f_028,15,1.0
logistic_full_C01,f_029,15,1.0
logistic_full_C01,f_030,15,1.0
logistic_full_C01,f_031,15,1.0
logistic_full_C01,f_032,15,1.0
logistic_full_C01,f_033,15,1.0
logistic_full_C01,f_034,15,1.0
logistic_full_C01,f_035,15,1.0
logistic_full_C01,f_036,15,1.0
logistic_full_C01,f_037,15,1.0
logistic_full_C01,f_038,15,1.0
logistic_full_C01,f_039,15,1.0
logistic_full_C01,f_040,15,1.0
logistic_full_C01,f_041,15,1.0
